0	0
0.2	0
0.202614	3.396226e+018
0.207843	9.396226e+018
0.214379	1.777358e+019
0.219608	2.309434e+019
0.222222	2.660377e+019
0.231373	3.215094e+019
0.252288	3.928302e+019
0.27451	4.381132e+019
0.287582	4.652830e+019
0.300654	4.856604e+019
0.312418	5.083019e+019
0.322876	5.207547e+019
0.342484	5.400000e+019
0.351634	5.490566e+019
0.364706	5.569811e+019
0.375163	5.660377e+019
0.398693	5.739623e+019
0.422222	5.807547e+019
0.447059	5.830189e+019
0.528105	5.830189e+019
0.670588	5.830189e+019
0.760784	5.830189e+019
0.890196	5.830189e+019
1	5.830189e+019
